Unnamed: 0,100,Unnamed: 2,Unnamed: 3,Unnamed: 4,100.1,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134
,,9.0,Kostucha,92.0,,,Fourward Thinking,18.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.0,Ramia,75.0,,,Russian Roulette,20.0,-4.0,,,,,Name,Game,,,,,Can re-roll on,,,Name,Action,,Arcade,,Bullet Hell,,First-Person,,Platformer,,,Can re-roll on,,,,Rules / Restrictions,,,,,,,,,,,,,,Name,Game 1,,Game 2,,,Can re-roll on,,,,Rules / Restrictions,,,,,,,,,,,,,Name,Game,,,,,,Can re-roll on,,,Rules / Restrictions,,,,,,,,,,Name,Game,,,,,,Can re-roll on,,,Rules:,,,,,,,,,,,,Rules / Restrictions,,,,,,,,,,,,,,,,
,,11.0,ZALOLO,73.0,,,,,,,,,,Emma,Crossing Guard Joe,,,,05/31,Now,06/01,,Kaley,GoNNER,,Boson X,,Ellipsis,,INDUSTRIA,,Salmon Ninja,,06/29,Now,07/19,,,You will get 5 different T1s from each of the 5 categories chosen adding up to 25 games total,,,,,,,,,,,,,,Chebyshevrolet,TWWWR,,,,06/16,Now,06/23,,,You can't roll locked games for whatever reason they are locked,,,,,,,,,,,,,Ritsuki,Blind Drive,,,,,12/01,Now,,,You can't roll locked games for whatever reason they are locked,,,,,,,,,,Athena,Disc Room,,,,,12/01,Now,,,Pick a category -> random T1 is rolled in that category -> complete it within a week,,,,,,,,,,,,You can't pick a game you have already completed,,,,,,,,,,,,,,,,
,,11.0,Uribo,73.0,,,Co-op,,,,,,,Chebyshevrolet,Alien Shooter,,,,06/02,Now,06/03,,Pralkarz,XANDO: Xtreme & Over the Top,(strategy),SOMOS,,RAIN project,,Spelldash,,Lantern Bearer,,11/26,Now,12/03,,,"You are required to complete 3 out 5 games from each of the categories, so 3 platformers, 3 arcade, etc. You choose which 3 of the 5 from each category to complete (totaling 15 separate completed T1s)",,,,,,,,,,,,,,Rainbow,Xmas Shooting - Scramble!!,,,,07/14,Now,07/21,,,You can't roll a game you have already completed,,,,,,,,,,,,,Sp1nz,Skybolt Zack,,,,,12/01,Now,,,You can't roll a game you have already completed,,,,,,,,,,Chebyshevrolet,I Wanna Be The Cat,,,,,12/01,Now,,,Then pick a different category -> random T2 is rolled in that category -> complete it within 2 weeks,,,,,,,,,,,,You must set your game details to public and have your profile synced before receiving your roll,,,,,,,,,,,,,,,,
,,11.0,KingConn,73.0,,,Destiny Alignment,,,,,,,Alan Quake,Void Prison,,,,07/31,Now,08/01,,,,,,,,,,,,,,,,,,You can't roll locked games for whatever reason they are locked,,,,,,,,,,,,,,Crappy,Rise & Shine,,,,07/22,Now,07/29,,,You can't roll a game that has an average completion time of over 40 hours.,,,,,,,,,,,,,tater,Will You Snail,,,,,12/01,Now,,,You can't roll a game that has an average completion time of over 40 hours.,,,,,,,,,,Jayde,One Finger Death Punch,,,,,12/01,Now,,,Then pick a category not chosen yet -> random T3 is rolled in that category -> complete it within 3 weeks,,,,,,,,,,,,"If you have completed all options in a category, that category is removed from the rollable options",,,,,,,,,,,,,,,,
,,12.0,Cirpacha,72.0,,,Soul Mates,,,,,,,LoyalDeath,The Treehouse Man,,,,08/09,Now,08/10,,,,,,,,,,,,,,,,,,You can't roll a game you have already completed,,,,,,,,,,,,,,Tired,Super Lovely Planet,,,,11/16,Now,11/23,,,You can't roll a game that costs more than $19.99 (unless there is a sale at the time of the roll that would bring it into that range),,,,,,,,,,,,,andy,HUNTDOWN,,,,,12/01,Now,,,You can't roll a game that costs more than $19.99 (unless there is a sale at the time of the roll that would bring it into that range),,,,,,,,,,Maniac,Extricate,,,,,12/01,Now,,,Then pick a category not chosen yet -> random T4 is rolled in that category -> complete it within 4 weeks,,,,,,,,,,,,"Wheel of Names will be used to decide the game, and, optionally, can be livestreamed with the person present",,,,,,,,,,,,,,,,
,,13.0,SUM10,70.0,,,Teamwork Makes the Dream Work,10.0,-2.0,,,,,emma,Driven Out,,,,09/08,Now,09/09,,,,,,,,,,,,,,,,,,You can't roll a game that has an average completion time of over 10 hours,,,,,,,,,,,,,,Emma,My Friend Pedro,,,,07/11,Now,07/18,,,Each of the four games must be from a different category,,,,,,,,,,,,,kabopzka,Valfaris,,,,,12/01,Now,,,,,,,,,,,,,Apollo.,Verlet Swing,,,,,12/01,Now,,,,,,,,,,,,,,,"You may pick a game with an uncleared objective, but it must already be T5 when selected, and you must clear the uncleared objectives as well",,,,,,,,,,,,,,,,
,,14.0,Breed,55.0,,,???,,,,,,,Lake,A Healer Only Lives Twice,,,,09/25,Now,09/26,,,,,,,,,,,,,,,,,,You can't roll a game that costs more than $9.99 ,,,,,,,,,,,,,,,,,,,,,,,,"If you fail to complete a game, your streak is reset.",,,,,,,,,,,,,Newfi Cheese,Furi,,,,,01/05,Now,,Name,Game 1,,Game 2,,Game 3,,,,,,Ritsuki,Avoid - Sensory Overload,,,,,12/01,Now,,,Restrictions:,,,,,,,,,,,,* = can't reroll until Let Fate Decide is cleared,,,,,,,,,,,,,,,,
,,15.0,Kiehi,36.0,,,,,,,,,,Natalie,Void Prison,,,,09/30,Now,10/01,,Name,Game,,,,,,,,,,,,,,,"Eligible games in your library will be prioritized, but not always chosen (they will appear on the wheel twice as often)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hungarde,Valfaris,,,,,01/09,Now,,Natalie,Leo's Fortune,,Reverse x Reverse,,Plug Me,,05/11,06/08,,,Sp1nz,Odium to the Core,,,,,12/01,Now,,,"The cooldown timer is (the number games you have completed + 1) x 2 weeks, and the cooldown starts after you fail",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16.0,Kanra,35.0,,,PvP,,,,,,,Sniba,Dr. Fetus' Mean Meat Machine,,,,10/05,Now,10/06,,SomeMugger,Akane,,Tadpole Treble,,REVOLVER360 RE:ACTOR,,High Hell,,Overclocked,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gyavenson,Happiness Drops!,,,,,01/12,Now,,Sartoonel,Boomerang X,,Dishonored,,Paint the Town Red,,08/14,09/11,,,kabopzka,Slay the Spire,,,,,12/01,Now,,,"Example: If you fail the T1, the cooldown is 2 weeks, if you fail the T4 the cooldown is 2 months",,,,,,,,,,,,Name,Game,,,,Can re-roll on,,,,,,,,,,,
,,17.0,1Kick234,31.0,,,Winner Takes All,,,(deprecated),,,,Zelda,VECTORLORD,,,,02/21,Now,02/22,,Uzzbuzz,Outbuddies,,Sound Slide,,Jet Buster,,Desync,,Salmon Ninja,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Name,Game 1,,Game 2,,Game 3,,Game 4,,,Can re-roll on,,,,nemesis,Blind Drive,,,,,01/12,Now,,Dabba,Q - A Neon Platformer,,LOST BUBBLES: sweet mates,,Skeleton Boomerang,,12/21,1/18,3/15,,tater,Descenders,,,,,12/12,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.0,SomeMugger,30.0,,,Game Theory,4.0,-4.0,(deprecated),,,,てんのみかさ,RITE,,,,03/16,Now,03/17,,LoyalDeath,Hotline Miami,,Neo Neo,,Godstrike,,God Damn the Garden,,1001 Spikes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Legion,Super Chicken Jumper,,Absolute Drift,,Shmups Skill Test,,,,05/21,Now,05/28,,,calypso,Boomerang X,,,,,01/13,Now,,,,,,,,,,,,,Isak,SCP: Containment Breach Multiplayer,,,,,12/12,Now,,,You won't get a game that is impossible to complete in that timeframe (40 hours max per week is assumed),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.0,AkaraWa,26.0,,,ow,,,,,,,bobthezealot,An Octonaut Oddysey,,,,05/02,05/16,05/03,,Legion,Dispersio 2,,Dino Run DX,,LinearShooter Remixed,,A Story About My Uncle,,Spectraball,,,,1,,,,,,,,,,,,,,,,,Name,Game 1,,Game 2,,,,,,ZALOLO,Electronic Super Joy,,Cathedral,,,,,,05/16,Now,05/23,,,FluffyFeLuca,Fury Unleashed,,,,,01/15,Now,,,,,,,,,,,,,Rainbow,Verlet Swing,,,,,12/14,Now,,,You won't get a locked game for whatever reason it is locked,,,,,,,,,,,,Gyavenson,Kreedz Climbing,,First Person,01/30,Now,,,,,,,,,,,
,,20.0,Nihen,24.0,,,???,,,,,,,,,,,,,,,,Wantarou,Savant - Ascent,,FutureGrind,,Gunlocked,,A Story About My Uncle,,ALTF4,,,,1,,,,,,,,,,,,,,,,,Legion,Lovely Planet Remix,,Graceful Explosion Machine,,,,1,,Natalie,Tricky Towers,,,,,,,,07/22,Now,07/29,,,Nashix,QP Shooting - Dangerous!!,,,,,01/16,Now,,Name,Game 1,,Game 2,,Game 3,,,,,,Hungarde,Ys Origin,,,,,01/09,Now,,,It is possible to roll into a game you were previously assigned,,,,,,,,,,,,Quasar,APE OUT,,Action,01/30,Now,,,,,,,,,,,
,,21.0,Natalie,22.0,,,,,,,,,,,,,,,,,,,Zelda,Aggelos,,oO,,Prologue for a Vacant Kingdom,,DeadCore,,Heads Run,,,,1,,,,,,,,,,,,,,,,,Zelda,Cloak & Dasher,,Nex Machina,,,,1,,Pralkarz,Pato Box,,,,,,,,07/15,Now,07/22,,,Vnednek,Rotund Takeoff,,,,,01/30,Now,,Natalie,Umihara Kawase Shun,,Hoppup!,,Super Magbot,,,,1,,SomeMugger,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ,,,,,01/10,Now,,,You are granted a re-roll token for each game you complete. So you can have a max of 3 by the time of your T4 roll,,,,,,,,,,,,kaley,Jump King,,Platformer,01/30,Now,,,,,,,,,,,
,,21.0,UzzBuzz,22.0,,,Co-op PvP,,,,,,,,,,,,,,,,CraziiPanduh,Bananner Nababber,,Spingun,,Linear Shooter,,Neon Boost,,Inside My Radio,,,,1,,,,,,,,,,,,,,,,,CraziiPanduh,Heavy Bullets,,Castlevania: Mirror of Fate,,,,1,,,,,,,,,,,,,,,,SomeMugger,Ys: The Oath in Felghana,,,,,02/10,Now,,Leaf,Aim Climb,,Drink More Glurp,,Hyperun,,,,1,,Uribo,Super House of Dead Ninjas,,,,,01/11,Now,,,Using a re-roll token adds one month to your cooldown,,,,,,,,,,,,ぎょーざ,APE OUT,,Action,02/08,Now,,,,,,,,,,,
,,22.0,Retsu,21.0,,,???,,,,,,,,,,,,,,,,Breed,Anarcute,,Getting Over It,,Marimoth,,Transpire,,Garlic,,,,1,,,,,,,,,,,,,,,,,Folkius,Within the Blade,,Kero Blaster,,,,1,,,,,,,,,,,,,,,,Reinhardt 6,Super High Ball: Pinball Platformer,,,,,02/10,Now,,ZALOLO,Hellsinker,,Maiden and Spell,,ALLTYNEX Second,,,,1,,Achrotone,Phantom Jump,,,,,01/11,Now,,,"Using a re-roll token resets the time you have to complete your current roll, and can be used anytime within your time limit",,,,,,,,,,,,thatguy.,HyperRogue,,Strategy,02/17,Now,,,,,,,,,,,
,,23.0,Tettrum,20.0,,,,,,,,,,,,,,,,,,,leaf,NInjin: Clash of Carrots,,Aliens Go Home Run,,Ellipsis,,Pacify,,LOVE,,,,1,,,,,,,,,,,,,,,,,wantarou,Hyper Light Drifter,,Hayfever,,,,1,,,,,,,,,,,,,,,,nikocha,BPM: BULLETS PER MINUTE,,,,,02/13,Now,,Wantarou,Mute Crimson+,,Will You Snail?,,Q - A Neon Platformer,,,,1,,nikocha,CosmoDreamer,,,,,01/12,Now,,,,,,,,,,,,,,,Kostucha,Hollow Knight,,Action,03/01,Now,,,,,,,,,,,
,,23.0,thatguy.,20.0,,,,,,,,,,,,,,,,,,,Uribo,Mini Ghost,,Neo Neo,,Prologue for a Vacant Kingdom,,Neon Boost,,Ascent,,,,1,,,,,,,,,,,,,,,,,Kostucha,Dark Devotion,,Hack or Die,,,,1,,Name,Game 1,,Game 2,,Game 3,,Game 4,,,,,,,Qrowe,Spelunky,,,,,02/15,Now,,Breed,Yooka Laylee & Impossible Lair,,Super Magbot,,Ori and the Blind Forest,,,,1,,Blizzy,Descenders,,,,,01/12,Now,,,,,,,,,,,,,,,Leaf,The End is Nigh,,Platformer,03/01,Now,,,,,,,,,,,
,,23.0,ssqwpol,20.0,,,,,,,,,,,,,,,,,,,Natalie,Apple Slash,,Nights Into Dreams,,Jet Buster,,High Hell,,"Quickly, Quackley!",,,,1,,,,,,,,,,,,,,,,,ZALOLO,Zuma's Revenge,,FOTONICA,,,,1,,Zelda,E.Z,,Deepest Sword,,Danmaku Unlimited 2,,Hotline Miami 2,,,,1,,,NEX,Hellsinker,,,,,02/19,Now,,Uribo,Eryi's Action,,Sockventure,,Q - A Neon Platformer,,,,1,,calypso,Super Meat Boy,,,,,01/13,Now,,,,,,,,,,,,,,,Folkius,Dustforce DX,,Platformer,03/09,Now,,,,,,,,,,,
,,23.0,Hisa,20.0,,,,,,,,,,Name,Game,,,,,,,,FluffFeLuca,Akane,,Tetradecagon,,PuPaiPo Space Deluxe,,Slender: the Arrival,,Big Flappy Tower VS Tiny Square,,,,1,,,,,,,,,,,,,,,,,Breed,64,,Last Command,,,,1,,Nuepiyoo,"You will die a lot buddy, trust me!",,One Wheel Guy,,Murasaki Tsurugi,,Fotonica,,,,1,,,Athena,Space Invaders Extreme,,,,,02/26,Now,,Folkius,ALLTYNEX Second,,Murasaki,,Like Dreamer,,,,1,,NEX,Eagle Island Twist,,,,,01/18,Now,,,,,,,,,,,,,,,Nihen,Pogostuck,,Arcade,03/25,Now,,,,,,,,,,,
,,24.0,ぎょーざ,17.0,,,Relative Point Values:,,,,,,,Kostucha,Dragon's Lair,,,,,,1,,Folkius,Cybarian,,Speed Limit,,RefleX,,Slender: the Arrival,,Platformity,,,,1,,,,,,,,,,,,,,,,,Vnednek,Dunkypung,,Within the Blade,,,,1,,Wantarou,Ziggurat,,My Friend Pedro,,Fist's Elmination Tower,,Danmaku Unlimited 3,,,,1,,,Pig,All Day Dying,,,,,02/27,Now,,Zelda,Super Lumi Live,,Ori and the Blind Forest,,Eryi's Action,,,,1,,irrealis,Trackmania Stadium,,,,,01/25,Now,,,,,,,,,,,,,,,Retsu,Cloudberry Kingdom,,Platformer,04/03,Now,,,,,,,,,,,
,,25.0,CraziiPanduh,12.0,,,Tier 1,1.0,,,,,,Quasar,Another Perspective,,,,,,1,,ZALOLO,Mega Serval,,Sullen,,Void Prison,,Alien Removal Division,,Konrad the Rocket,,,,1,,,,,,,,,,,,,,,,,SomeMugger,Nowhere Patrol,,Omnibus,,,,1,,Folkius,Super Multitasking,,FOTONICA,,Hack or Die,,BIT.TRIP FATE,,,,1,,,Quasar,Spelunky,,,,,02/27,Now,,cos65535,PAWARUMI,,Hellsinker,,DANMAKAI: Red Forbidden Fruit,,,,1,,Vnednek,SCP: Containment Breach Multiplayer,,,,,01/30,Now,,,,,,,,,,,,,,,Koolboom,Katana ZERO,,Action,06/25,Now,,,,,,,,,,,
,,26.0,calypso,11.0,,,Tier 2,2.0,,,,,,Legion,Panic Porcupine,,,,,,1,,Kostucha,Akane,,Speed Limit,,Blast Rush Classic,,Neon Boost,,Super Hamster Ball,,,,1,,,,,,,,,,,,,,,,,Joker,Rise & Shine,,Run or Die,,,,1,,Leaf,In Retrospect,,Hyper Light Drifter,,Typing of the Dead: Overkill,,Quantum Conundrum,,,,1,,,LoyalDeath,A Hat in Time,,,,,03/01,Now,,Nuepiyoo,Ori and the Blind Forest,,Bouncing Hero,,Pizza Tower,,,,1,,Pig,DUSK,,,,,01/30,Now,,,,,,,,,,,,,,,Nuepiyoo,Hollow Knight,,Action,08/04,Now,,,,,,,,,,,
,,27.0,SakumaDrops,10.0,,,Tier 3,4.0,,,,,,LoyalDeath,Cycle 28,,,,,,2,,emma,Akane,,Fortix,,The Treehouse Man,,High Hell,,Exception,,,,1,,,,,,,,,,,,,,,,,leaf,DROPSHIP,,Typoman,,,,1,,Uribo,Zuma's Revenge,,Ziggurat,,My Friend Pedro,,Shu,,,,1,,,Chebyshevrolet,Super Highball: Pinball Platformer,,,,,03/01,Now,,Kostucha,Eryi's Action,,Hoppup!,,Ori and the Blind Forest: Definitive Edition,,,,1,,Plandiss,Bleed 2,,,,,02/12,Now,,,,,,,,,,,,,,,ZALOLO,Crimzon Clover World EXplosion,,Bullet Hell,08/20,Now,,,,,,,,,,,
,,28.0,LoyalDeath,9.0,,,Tier 4,8.0,,,,,,Zelda,ITTA,,,,,,1,,Nuepiyoo,Savant - Ascent,,Getting Over It with Bennett Foddy,,PuPaiPo Space Deluxe,,Lovely Planet Arcade,,Flem,,,,1,,,,,,,,,,,,,,,,,Pralkarz,An Octonaut Odyssey,,Cyber Hook,,,,1,,Kostucha,Race the Sun,,BIT.TRIP RUNNER,,Aka Manto | 赤マント,,Hell is Other Demons,,,,1,,,shiba,Midnight Fight Express,,,,,03/05,Now,,Legion,PAWARUMI,,Touhou Shinreibyou - Ten Desires.,,DANMAKAI: Red Forbidden Fruit,,,,1,,Eg,Trackmania Valley,,,,,03/01,Now,,,,,,,,,,,,,,,Emma,Katana Zero,,Action,12/02,*,,,,,,,,,,,
,,28.0,Quasar,9.0,,,Tier 5,20.0,,,,,,Folkius,Tightrope Theater,,,,,,1,,cos65535,Mega Serval,,Duke Dashington,,Ellipsis,,Alien Removal Division,,Pain Party,,,,1,,,,,,,,,,,,,,,,,Nuepiyoo,Waveland,,Dig Dog,,,,1,,Cos65535,Circa Infinity,,BIT.TRIP RUNNER,,Just Shapes & Beats,,Hard Reset Extended Edition,,,,1,,,Mini1burger,A Hat in Time,,,,,03/15,Now,,SUM10,BETON BRUTAL,,Primordial Pain,,Shadow Corridor,,,,1,,Gaphodil,Phantom Jump,,,,,03/01,Now,,,,,,,,,,,,,,,Velocity,Chippy,,Bullet Hell,12/02,*,,,,,,,,,,,
,,28.0,Gyavenson,9.0,,,,,,,,,,leaf,Wraithslayer,,,,,,1,,Schmole,Akane,,Peggle Extreme,,#Snake2 DX: Reawakening,,Alien Removal Division,,One Gun Guy,,,,1,,,,,,,,,,,,,,,,,irrealis,Last Command,,Nowhere Patrol,,,,1,,Cirpacha,Nowhere Patrol,,Umbral Omen,,Hack or Die!,,The Textorcist: The Story of Ray Bibbia,,,,1,,,irrealis,Yooka Laylee and the Impossible Lair,,,,,03/18,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mini1burger,Trials Evolution,,Arcade,12/02,*,,,,,,,,,,,
,,28.0,Tired,9.0,,,*Relative losses round to the nearest whole number,,,,,,,Snifidy,Singled Out,,,,,,1,,KingConn,Bananner Nababber,,Arcane Golf,,Godstrike,,Heroine of the Sniper,,Darkour,,,,1,,,,,,,,,,,,,,,,,Uribo,Rayze,,Kero Blaster,,,,1,,,,,,,,,,,,,,,,Velocity,Super High Ball: Pinball Platformer,,,,,03/21,Now,,,,,,,,,,,,,Gooey,Rotund Rebound,,,,,03/01,Now,,,,,,,,,,,,,,,Qrowe,Celeste,,Platformer,12/02,*,,,,,,,,,,,
,,29.0,JayJay,8.0,,,"*A loss is considered either not completing the game on time, losing to the other person or re-rolling the game",,,,,,,thatguy.,Tightrope Theatre,,,,,,1,,thatguy,Akane,,Tetradecagon,,Blazend,,Transpire,,System Purge,,,,1,,,,,,,,,,,,,,,,,Athena,Shu,,Intravenous,,,,1,,,,,,,,,,,,,,,,Plandiss,Skul the Hero Slayer,,,,,03/21,Now,,,,,,,,,,,,,Vantier,Rhythm Journey,,,,,03/01,Now,,Name,Category,Game,,,,,Token Used?,,,Can Re-roll On,,,Plandiss,Crimzon Clover WORLD IGNITION,,Bullet Hell,12/02,*,,,,,,,,,,,
