Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,"Both players must be the same discord rank at the time of the roll request If for whatever reason they are the only person in that rank, they can request to pair up with someone in a lower or higher rank People on SS rank or higher can roll between themselves ignoring rank limitations. Player A must complete a randomly rolled game that player B has completed all primary objectives in, and vice versa Player A cannot have any points earned in the game rolled from player B's completed games, and vice versa A game will not be rolled for either player if it does not fit the criteria of a ""rollable"" game, those aspects being price, exploitability, availability, etc",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,"A game will not be rolled for either player if it does not fit the criteria of a ""rollable"" game, those aspects being price, exploitability, availability, etc A game will not be rolled if either player has any points in that game (except T5+ where a game may be rolled as long as neither player has finished it) Both players must complete all primary objectives in that game within the time limit Picking T5 will exclude games worth 400 or more, but both players may request that T6 games be added to the pool The time limit for each tier and cooldown is as follows: Tier",Time Limit,Cooldown,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,"A game will not be rolled for either player if it does not fit the criteria of a ""rollable"" game, those aspects being price, exploitability, availability, etc A game will not be rolled if either player has any points in that game. Player A may complete all 4 games by themselves Player A and player B cannot split the objectives in a game to have it collectively completed. All primary objectives must be completed by a single person ",Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,DEPRECATED ,"YOU ALSO ARE ABLE TO CHOOSE A CATEGORY A game will not be rolled for either player if it does not fit the criteria of a ""rollable"" game, those aspects being price, exploitability, availability, etc A game will not be rolled if either player has any points in that game. The winner will be determined by discord time stamps, you must post your completion in Casino *PvP achievements CANNOT be rolled if your CS is below 0  ",Unnamed: 43,(choose tier and category) ,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,"A game will not be rolled for either player if it does not fit the criteria of a ""rollable"" game, those aspects being price, exploitability, availability, etc A game will not be rolled if either player has any points in that game. Player A will DM to Folkius the category they want a random T1 to be rolled for player B to complete all objectives in, and vice versa The winner will be determined by discord time stamps, you must post your completion in Casino You are free to discuss with your opponent which category you plan on giving them, and you are not obligated to be honest *PvP achievements CANNOT be rolled if your CS is below 0 ",Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,T1**** ,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
,,,,MrCooper,Zelda,,Stickit,,Jumping Knight,,06/07,Now,,,Yesnt,Dabba,vs,PogoChamp,,5.0,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reinhardt,Yesnt,,Keep Talking and Nobody Explodes,,LOVE,,06/23,Now,,,Yesn't,Razman,vs,Bob Was Hungry,,5.0,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Zelda,Achrotone,,Fenix Rage,,Demon Go!,,06/23,Now,,,Yesn't,Natalie,vs,Tanuki Justice,,5.0,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Uzzbuzz,Legion,,Anarcute,,Bioshock Infinite,,06/30,Now,,,Yesn't,Desert,vs,vivid/stasis,,,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Nimportnawak,Sartoonel,,Just Shapes & Beats,,Verlet Swing,,07/08,Now,,,Fireball,Kyara,vs,Devil Daggers,,5.0,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natalie,Legion,,Eternal Cave Escape,,Pawnbarian,,07/11,Now,,,Kingconn,ssqwpola,vs,Crimzon Clover World EXplosion,,5.0,11/09,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natalie,Schmole,,E.Z,,Sonic & All Stars Racing Transformed Collection,,07/11,Now,,,Wantarou,Ramia,vs,Never Give Up,,5.0,11/09,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natalie,Folkius,,Overclocked,,Super Nano Blaster,,07/18,Now,,,Joachim Guack,Melwei,vs,How I Learned to Skate,,5.0,11/18,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Folkius,Legion,,Touhou Bunkachou - Double Spoiler,,Rogue Legacy,,07/18,Now,,,Kyara,Razman,vs,APE OUT,,5.0,12/17,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Achrotone,1kick234,,Ellipsis,,Kero Blaster,,07/21,Now,,,Azathoth,Brodigy ,vs ,PogoChamp,,5.0,04/27,Heat Death,05/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natalie,JayJay,,God Damn the Garden,,Aliens Go Home Run,,07/21,Now,,,Madhazards,Spooky,vs,Jamestown,,5.0,04/29,Heat Death,05/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Legion,JayJay,,Terminal Velocity: Boosted Edition,,Cave Story+,,07/21,Now,,,Sparky,Gato Abóbora,vs,A Dance of Fire and Ice,,5.0,04/29,Heat Death,05/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natalie,Uzzbuzz,,Trash Quest,,JUMPGRID,,07/21,Now,,,Madhazards,Sparky,vs,Deathsmiles,,5.0,04/30,Heat Death,05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natalie,SomeMugger,,Splodey,,HUNTDOWN,,07/23,Now,,,Cirpacha,ssqwpola,vs,Trials Fusion,,5.0,04/30,Heat Death,05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SomeMugger,Legion,,Overclocked,,Oniken: Unstoppable Edition,,07/23,Now,,,Cirpacha,Zelda,vs,PogoChamp,,5.0,04/30,Heat Death,05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natalie,Cirpacha,,Castlevania: Lords of Shadow - Mirror of Fate HD,,Point Perfect,,07/23,Now,,,Driek,dipshit914,vs,Shiren 5,,5.0,04/30,Heat Death,05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natalie,Kingconn,,Super Cable Boy,,Momodora: Reverie Under the Moonlight,,07/23,Now,,,Kyara,Punisher,vs,Broforce,,5.0,05/01,Heat Death,05/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Legion,Kingconn,,Blast Rush Classic,,Jump King,,07/23,Now,,,Kyara,Cirpacha,vs,Progear,,5.0,05/01,Heat Death,05/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mini,Zelda,,Pogostuck: Rage With Your Friends,,The Royal Cosmonautical Society,,07/23,Now,,,Kyara,Zelda,vs,Deathless Dungeon,,5.0,05/01,Heat Death,05/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Razman,Desticler,,Shantae and the Pirate's Curse,,Downslope,,07/23,Now,,,brxmellia,12357,vs,HEPTAGON,,5.0,05/01,Heat Death,05/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Razman,Fireball,,The Witness,,Sliming,,07/23,Now,,,Sparky,Jamie,vs,Trials Evolution: Gold Edition,,5.0,05/02,Heat Death,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Desert Stream,Fireball,,Flem,,Spectraball,,07/23,Now,,,Sparky,Brodigy,vs,Radial Flow,,5.0,05/02,Heat Death,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kyara,Gwii,,LOVE 2: kuso,,Magicmaker,,07/23,Now,,,Arko,Zuza,vs,A Dance of Fire and Ice,,5.0,05/02,Heat Death,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mini,thatguy,,Enter the Gungeon,,Surgeon Simulator,,07/23,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Yesnt,Gwii,,Spelunky 2,,The Sun and Moon,,08/03,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sartoonel,Nimportnawak,,A Story About My Uncle,,Despotism 3K,,08/07,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Apollo,Dabba,,Going Under,,Peggle Deluxe,,09/29,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dabba,Gwii,,Fork Parker's Holiday Profit Hike,,The End is Nigh,,10/04,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hornet,Fireball,,Trackmania² Lagoon,,Klang 2,,10/04,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hornet,Desert Stream,,Bejeweled 3,,Klang 2,,10/07,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ramia,Wantarou,,Techbeat Heart,,I Am Bread,,10/22,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kanra,Apollo,,Belle Boomerang,,GoNNER,,10/28,Now,,,Player A,Player B,,Game,,,,,Completions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kebarvu,Vitas2222,,Blitz Breaker,,Eraser,,11/03,Now,,,Folkius,Sr. Douglas,vs,Dig Dog,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Desticler,Yesnt,,Ys I,,Spelunky 2,,11/18,Now,,,Vantier,Loyal,vs,GrappleWell,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Microwave,Jade,,Castle Crashers,,Wildfrost,,04/29,05/29,,,Nuepiyoo,kiehi,vs,Titan Souls,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gamefreak9,Jade,,Muck,,Hollow Knight: Silkson,,04/29,05/29,,,Ramia,からあげ,vs,Jumpgrid,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gamefreak9,Microwave,,Rogue Legacy,,Battleblock Theater,,04/29,05/29,,,KingConn,Pralkarz,vs,Bloodroots,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kabopzka,BloodStinger,,Defunct,,Rise of the Tomb Raider,,04/30,05/30,,,Pralkarz,Feuzaed,vs,Last Command,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Magmalis,Bobthezealot,,Lantern Bearer,,SUPERHOT,,05/01,06/01,,,Lake,mbed,vs,Run Turn Die,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kiehi,Ramia,,Thy Kingdom Crumble,,Fork Parker's Holiday Profit Hike,,05/01,06/01,,,Apollo,Tired,vs,Neon Boost,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kiehi,wantarou,,Threes!,,FutureGrind,,05/01,06/01,,,Water,Brendan,vs,Seraphim,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arko,Zuza,,Five Nights At Freddy's Sister Location,,Bot Vice,,05/02,06/02,,,Wantarou,Uribo,vs,within the blade,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Schmole,Legion,vs,Angry Video Game Nerd II: ASSimilation,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Cirpacha,Kanra,vs,Rock of Ages,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Player,,,,,,,,Completions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Player A,Player B,,Game 1,,Game 2,,,Completions,,,Pralkarz,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Schmole,Uzzbuzz,,Duke Dashington,,Sonic All Stars Racing Transformed,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Loyal,Natalie,,Gunborg,,Singled Out,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Folkius,Sr. Douglas,,SUPERHOT,,Danmaku Unlimited 3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lake,mbed,,pureya,,Keep Talking and Nobody Explodes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Desticler,Kyara,,Sonic Generations Collection,,Peggle Extreme,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NiceStickman,Apollo,,Eraser,,Portal,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cirpacha,Legion,,Let's Worm,,SEUM,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Legion,Zawy,,Lingo,,BALLYGON,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natalie,Zelda,,Lost Potato,,Magicat,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Schmole,Legion,,Russian Subway Dogs,,Neon White,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Desert Stream,Fireball,,Flem,,Spectraball,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oatmeal,Emma,,Clustertruck,,Neon White,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Yesnt,ssqwpola,,Spelunky 2,,Micro Platformer,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cirpacha,Legion,,NEO NEO,,Umbral Omen,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ben,Yesnt,,Donut Dodo,,Keep Talking and Nobody Explodes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Razman,Samiversal,,SUPERVOID,,Tasty Planet,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
